Date/heure;Température moy;Température max;Température min;Radiation Solaire moy;Humidité moy;Humidité max;Humidité min;Precipitation Somme;Vitesse Du Vent moy;Vitesse Du Vent max;ETP quotidien [mm]
07/02/2022 00:00;12.91;23.83;4.25;194;73.88;99.34;31.49;0.4;0.9;1.8;
06/02/2022 00:00;10.84;19.7;2.71;146;77.85;99.57;41.06;0;0.5;1.6;1.5
05/02/2022 00:00;11.56;19.55;3.72;148;77.38;99.67;46.03;0;0.7;1.8;1.6
04/02/2022 00:00;11.81;19.44;6.35;113;52.28;71.22;26.78;0;0.5;1.8;1.5
03/02/2022 00:00;13.96;23.49;4.92;121;36.72;65.74;14.73;0;0.6;2.2;1.8
02/02/2022 00:00;11.25;23.55;1.83;156;42.37;63.3;16.3;0;0.4;1.7;1.6
01/02/2022 00:00;11.63;20.08;3.32;152;46.51;75.39;17.47;0;0.6;1.7;1.7
31/01/2022 00:00;14.25;22.96;7.86;122;42.22;68.92;16.1;0;0.5;1.5;1.7
30/01/2022 00:00;14.6;24.39;7.90;140;39.01;65.58;16.83;0;0.6;1.9;1.8
29/01/2022 00:00;11.25;19.61;3.08;126;54.71;79.89;31.73;0;0.9;2.5;1.8
28/01/2022 00:00;11.4;17.78;6.82;76;53.64;71.59;34.68;0;0.8;2.2;1.5
27/01/2022 00:00;10.61;18.81;2.1;147;53.02;87.57;28.32;0;0.5;1.6;1.4
26/01/2022 00:00;11.77;20.96;4.2;139;57.25;96.42;21.64;0;0.8;2.6;1.7
25/01/2022 00:00;9.03;15.55;3.27;99;80.65;99.31;53.92;0;1.2;3.2;1.3
24/01/2022 00:00;11.28;18.25;5.69;104;80.29;99.39;41.7;0;0.6;2.3;1.3
23/01/2022 00:00;14.13;20.24;8.79;76;47.01;70.91;27.53;0;0.4;1.9;1.3
22/01/2022 00:00;9.25;20.43;-0.52;131;54.07;84.55;28.38;0;0.6;1.8;1.5
21/01/2022 00:00;8.96;19.21;0.37;145;54.54;86.87;19.47;0;0.6;2.2;1.4
20/01/2022 00:00;7.54;18.44;-0.95;143;64.38;99.22;22.17;0;0.4;1.6;1.2
19/01/2022 00:00;7.45;17.37;-0.66;138;69.91;98.54;30.29;0;0.3;1.7;1.1
18/01/2022 00:00;8.35;16.43;0.84;74;64.17;95.48;34.01;0;0.3;1.3;0.9
17/01/2022 00:00;8.74;19.02;-0.79;137;63.86;99.2;24.42;0;0.5;1.9;1.2
