Date/heure;Temperature moy;Temperature max;Temperature min;rosee moy;rosee min;RS moy;Deficit de Pression de vapeur moy;Deficit de Pression de vapeur min;Humidite Relative moy;Humidite Relative max;Humidite Relative min;Precipitations Somme;Humectation foliaire time;Vitesse du vent moy;Vitesse du vent max;max;ETP quotidien [mm]
22/06/2021 00:00;15.92;22.54;14.12;11.6;10.4;108;0.43;0.09;76.47;94.28;48.79;4.8;190;0.2;0.8;2.4;
21/06/2021 00:00;18.9;27.75;12.96;12.7;10.4;310;0.79;0.02;71.2;98.47;34.82;3.4;160;0.6;1.7;4.3;4.8
20/06/2021 00:00;18.69;27.47;10.13;10.6;8.2;324;0.98;0.06;64.03;94.97;30.51;0;35;0.4;1.3;3.4;4.7
19/06/2021 00:00;16.95;21.41;13.49;11.6;9.9;109;0.56;0.04;72.56;97.35;51.54;6.8;165;0.3;1;2.5;2
18/06/2021 00:00;18.72;22.25;16.43;13.4;10.6;86;0.61;0.14;72.36;92.51;52.73;0.4;75;0.5;1.4;3.3;1.9
17/06/2021 00:00;20.57;27.65;16.07;13.1;10.3;252;0.94;0.31;65.11;83.28;35.51;0;0;0.6;1.4;5.4;4.2
16/06/2021 00:00;19.63;26.69;15.34;14;12.1;244;0.71;0.03;72.62;98.06;45.26;2.2;145;0.5;1.7;3.5;3.9
15/06/2021 00:00;21.12;29.08;15.46;15.5;14.1;269;0.8;0.08;73.32;95.29;44.96;2;160;0.5;1.7;4;4.4
14/06/2021 00:00;20.45;27.67;14.67;15;13.2;285;0.76;0.04;73.44;97.54;46.53;10.8;135;0.5;1.4;3.2;4.5
13/06/2021 00:00;21.23;29.06;14.03;14.1;12.8;319;1;0.07;66.89;95.55;39.39;0;0;0.5;1.1;3;5
12/06/2021 00:00;21.07;29.46;16.56;14.2;8.6;261;0.93;0.08;69.6;95.68;28.6;0;0;0.4;1.5;3.6;4.3
11/06/2021 00:00;24.26;32.5;17.77;11.9;6.3;287;1.73;0.24;50.05;88.29;22.85;19.8;235;0.5;1.5;4.1;4.9
10/06/2021 00:00;27.96;37.41;19.02;10.3;-2.9;298;2.68;0.57;40.5;78.28;8;0.6;45;0.3;1.2;3.1;5
09/06/2021 00:00;26.71;36.45;17.73;12;1.6;290;2.22;0.52;45.99;75.44;13.06;2.4;90;0.3;1.5;3.1;4.9
08/06/2021 00:00;26.07;32.61;21.31;12.6;10.5;140;1.96;0.82;44.66;69;27.53;0;0;0.2;1.5;3.4;2.8
07/06/2021 00:00;27.32;36.44;20.1;9.7;7.3;262;2.57;0.98;35.31;58.19;18.22;0;0;0.5;1.3;3.5;4.8
06/06/2021 00:00;24.56;34.52;15.53;11.6;3.6;312;1.87;0.15;52.65;91.4;16.4;0;0;0.5;1.9;4.9;5.2
05/06/2021 00:00;20.3;28.13;14.94;14.2;12.2;286;0.83;0;72.02;99.79;38.18;0;145;0.4;1.2;2.7;4.5
04/06/2021 00:00;18.09;22.94;14.95;14.9;13.8;146;0.38;0;83.04;100;62.46;13.2;565;0.5;1.5;4.3;2.5
03/06/2021 00:00;18.82;28.94;13.02;13.2;11.7;274;0.73;0.03;73.55;97.44;36.39;3.2;370;0.6;1.4;3.7;4.4
02/06/2021 00:00;19.09;27.43;12.36;11.4;9.8;322;0.93;0.15;64.45;89.55;33.72;0;0;0.6;1.5;4;4.8
01/06/2021 00:00;19.83;27.51;15.37;13.3;10.2;287;0.83;0.03;70.4;97.91;35.26;0;240;0.4;1.1;3.6;4.5
31/05/2021 00:00;21.14;26.3;16.97;15.5;11.5;194;0.75;0.09;72.64;95.09;44.14;0;0;0.5;1.3;4;3.4
